start_floor,end_floor,hall
27,16,R
27,18,R
27,19,R
27,20,R
27,21,R
27,22,R
27,23,R
27,24,R
27,25,R
27,32,R
13,2,L
13,4,L
13,5,L
13,6,L
13,7,L
13,8,L
13,9,L
13,10,L
13,11,L
13,12,L
13,14,L
13,15,L
41,38,L
41,39,L
41,40,L
40,28,L
40,32,L
40,38,L
40,39,L
40,41,L
39,33,C
39,34,C
39,35,C
39,36,C
39,37,C
39,38,C
39,28,L
39,32,L
39,38,L
39,40,L
39,41,L
38,28,L
38,32,L
38,39,L
38,40,L
38,41,L
37,33,C
37,34,C
37,35,C
37,36,C
37,38,C
37,39,C
37,28,R
37,32,R
36,28,L
36,32,L
36,33,C
36,34,C
36,35,C
36,37,C
36,38,C
36,39,C
35,28,L
35,32,L
35,33,C
35,34,C
35,36,C
35,37,C
35,38,C
35,39,C
34,26,L
34,28,L
34,29,L
34,30,L
34,32,L
34,33,C
34,35,C
34,36,C
34,37,C
34,38,C
34,39,C
33,34,C
33,35,C
33,36,C
33,37,C
33,38,C
33,39,C
33,26,L
33,28,L
33,29,L
33,30,L
33,32,L
32,1,R
32,16,R
32,18,R
32,19,R
32,20,R
32,21,R
32,22,R
32,23,R
32,24,R
32,25,R
32,27,R
32,26,L
32,28,L
32,29,L
32,30,L
32,33,L
32,34,L
32,35,L
32,36,L
32,37,L
32,38,L
32,39,L
32,40,L
30,26,L
30,28,L
30,29,L
30,32,L
30,33,L
30,34,L
29,26,L
29,28,L
29,30,L
29,32,L
29,33,L
29,34,L
28,2,C
28,26,L
28,29,L
28,30,L
28,32,L
28,33,L
28,34,L
28,35,L
28,36,L
28,37,L
28,38,L
28,39,L
28,40,L
26,1,C
26,28,L
26,29,L
26,30,L
26,32,L
26,33,L
26,34,L
